Code_Country,Ref_Y,Year,Country,Country1,TyH_Vote,TyH_Seats,Dalton_Vote,Dalton_Seats,Knutsen_Vote,Knutsen_Seats,VDEM_pol,Dalton_OP,election,party_replacement_v,Volat_A_Cohen_2pct,Volat_A_Cohen_5pct,Volat_A_Cohen_7pct,stable_party_v,Volat_B_Cohen_2pct,Volat_B_Cohen_5pct,Volat_B_Cohen_7pct,volatility,Evolat_Cohen_2pct,Evolat_Cohen_5pct,Evolat_Cohen_7pct,Volat_A_Schmidt,Volat_B_Schmidt,Evolat_Schmidt,Enph_Schmidt,gdppc,gdp_growth,inflation,unemployment,gini,PR_system,IDEA_ES_Legislature,IDEA_ES_President,Lib_Dem_Index,Elect_Dem_Index,Legislative size,Dist_Mag_mean
1,0,2010,Argentina,ARG,0.216,0.665,1.032,1.813,0.29,0.666,0.796,3.661,0,0.572,0.364,0.288,0.288,0.219,0.164,0.132,0.132,0.791,0.529,0.419,0.419,22.91,26.54,49.45,3.63,18980,9.3,10649,7.71,43.6,PR,List PR,TRS,0.599,0.773,257,10.7
1,1,2011,Argentina,ARG,0.438,0.364,1.471,1.341,0.402,0.21,0.796,3.766,1,0.859,0.739,0.62,0.592,0.049,0.018,0.009,0,0.908,0.757,0.629,0.592,20.88,7.46,28.34,3.042,20003,4.789,NA,7.18,42.6,PR,List PR,TRS,0.594,0.774,257,10.7
1,0,2012,Argentina,ARG,0.438,0.364,1.471,1.341,0.402,0.21,0.796,3.766,0,0.859,0.739,0.62,0.592,0.049,0.018,0.009,0,0.908,0.757,0.629,0.592,20.88,7.46,28.34,3.041,19599,-2.145,NA,7.22,41.3,PR,List PR,TRS,0.591,0.773,257,10.7
1,1,2013,Argentina,ARG,NA,NA,NA,NA,NA,NA,1.321,3.478,1,0.349,0.258,0.196,0.164,0.225,0.111,0.102,0.097,0.573,0.369,0.297,0.261,20.88,7.46,28.34,4.603,19873,1.266,NA,7.1,40.9,PR,List PR,TRS,0.59,0.779,257,10.7
1,0,2014,Argentina,ARG,NA,NA,NA,NA,NA,NA,1.321,3.478,0,0.349,0.258,0.196,0.164,0.225,0.111,0.102,0.097,0.573,0.369,0.297,0.261,20.88,7.46,28.34,4.603,19183,-3.579,NA,7.27,41.6,PR,List PR,TRS,0.607,0.791,257,10.7
1,1,2015,Argentina,ARG,NA,NA,NA,NA,NA,NA,1.321,4.152,1,0.479,0.383,0.348,0.317,0.117,0.036,0.035,0.035,0.596,0.42,0.383,0.352,27.19,20.02,47.21,4.624,19502,1.63,NA,NA,NA,PR,List PR,TRS,0.6,0.775,257,10.7
1,0,2016,Argentina,ARG,NA,NA,NA,NA,NA,NA,1.321,4.179,0,0.479,0.383,0.348,0.317,0.117,0.036,0.035,0.035,0.596,0.42,0.383,0.352,27.19,20.02,47.21,4.624,18875,-3.11,NA,NA,42,PR,List PR,TRS,0.622,0.75,257,10.7
1,0,2017,Argentina,ARG,NA,NA,NA,NA,NA,NA,1.321,4.374,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.19,20.02,47.21,NA,19200.9,1.758,NA,8.35,41.1,PR,List PR,TRS,0.609,0.749,257,10.7
1,1,2018,Argentina,ARG,NA,NA,NA,NA,NA,NA,1.321,4.596,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.19,20.02,47.21,NA,18556.4,-3.55,NA,9.22,41.3,PR,List PR,TRS,0.625,0.779,257,10.7
1,0,2019,Argentina,ARG,NA,NA,NA,NA,NA,NA,1.321,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.056,NA,9.84,42.9,PR,List PR,TRS,0.605,0.777,257,10.7
