v1,iso3c,year,code_country,ref_y,country,cbi_g,imf,tyh_vote,tyh_seats,dalton_vote,dalton_seats,knutsen_vote,knutsen_seats,vdem_pol,dalton_op,election,gdppc,gdp_growth,inflation,unemployment,gini,pr_system,idea_es_legislature,idea_es_president,lib_dem_index,elect_dem_index,legislativesize,dist_mag_mean,gcdodtotlgdzs,longitude,latitude,income,lending,gdppc_wb,gdpgrowth_wb,gdpconstant_wb,domesticcredit,debt,currentacc,pop,trade,fdi,spending,vol_growth,log_inflation,pol_sq,ln_inflation,log_gdp,vol_inf,vol_spending
459,VEN,2003,18,0,Venezuela,0.78105,0.00000,0.898,0.833,2.106,2.028,0.782,0.772,1.161,5.859,0,11728.2,-9.384,,16.78,48.1,Mixed,MMP,FPTP,0.248,0.494,165,6.9,,-69.8371,9.08165,Upper middle income,IBRD,,-7.7553,,8.906126,,14.10657,59.65725,50.57701,1.881115,12.87078,1.100347,,1.347921,,,,0.1365776
460,VEN,2004,18,0,Venezuela,0.78105,0.00000,0.898,0.833,2.106,2.028,0.782,0.772,1.161,5.116,0,13713.1,16.262,,15.07,47.5,Mixed,MMP,FPTP,0.223,0.486,165,6.9,,-69.8371,9.08165,Upper middle income,IBRD,,18.28661,,11.08177,,13.80039,58.72202,55.36745,1.324104,11.95592,26.04191,,1.347921,,,,0.9148607
461,VEN,2005,18,0,Venezuela,0.78105,0.00000,0.898,0.833,2.106,2.028,0.782,0.772,1.231,5.733,1,14944.3,8.499,,10.66,49.5,Mixed,MMP,FPTP,0.186,0.484,167,6.9,,-69.8371,9.08165,Upper middle income,IBRD,,10.31791,,13.21487,,17.48814,57.86493,60.12733,1.683733,11.0559,7.968692,,1.515361,,,,0.900012
462,VEN,2006,18,0,Venezuela,0.78105,0.00000,,,,,,,1.231,5.668,0,16253.7,8.163,,8.61,44.8,Mixed,MMP,FPTP,0.168,0.456,167,6.9,,-69.8371,9.08165,Upper middle income,IBRD,,9.872149,,17.03713,,14.42247,57.17818,58.66559,0.1079151,11.71068,0.4457645,,1.515361,,,,0.6547737
463,VEN,2007,18,0,Venezuela,0.78105,0.00000,,,,,,,1.93,5.081,0,17386.1,7.167,,7.28,,Mixed,MMP,FPTP,0.162,0.439,167,6.8,,-69.8371,9.08165,Upper middle income,IBRD,,8.753579,,23.48117,,5.844663,56.53399,56.1991,1.891789,12.47107,1.11857,,3.7249,,,,0.7603912
464,VEN,2008,18,0,Venezuela,0.78105,0.00000,,,,,,,1.93,5.413,0,18019.1,3.799,,6.25,,Mixed,MMP,FPTP,0.161,0.436,167,6.8,,-69.8371,9.08165,Upper middle income,IBRD,,5.277854,,21.46967,,9.905575,55.94644,51.82901,0.6592745,11.858,3.475725,,3.7249,,,,0.6130667
465,VEN,2009,18,0,Venezuela,0.59923,0.00000,,,,,,,1.93,5.463,0,17242.9,-4.567,27.08,6.1,,Mixed,MMP,FPTP,0.16,0.435,167,6.8,,-69.8371,9.08165,Upper middle income,IBRD,,-3.202303,,23.61363,,0.1300837,55.42772,38.52093,-0.3447673,13.7003,8.480157,3.298795,3.7249,3.298795,,,1.842297
466,VEN,2010,18,0,Venezuela,0.59923,0.00000,,,,,,,1.93,5.679,1,17105.6,-2.905,28.19,7.11,,Mixed,Parallel,FPTP,0.159,0.43,165,6.8,,-69.8371,9.08165,Upper middle income,IBRD,,-1.488791,,18.85434,,1.420424,54.97948,46.13689,0.4026019,11.20954,1.713511,3.338967,3.7249,3.338967,,1.110001,2.490761
467,VEN,2011,18,0,Venezuela,0.59923,0.00000,,,,,,,1.93,6.733,0,17746,2.559,26.09,6.9,,Mixed,Parallel,FPTP,0.157,0.421,165,6.8,,-69.8371,9.08165,Upper middle income,IBRD,,4.176425,,20.47423,,5.16364,54.57808,49.63812,1.850025,11.51779,5.665216,3.261552,3.7249,3.261552,,2.1,0.3082561
468,VEN,2012,18,0,Venezuela,0.59923,0.00000,,,,,,,1.93,6.733,0,18549,3.921,21.07,6.6,,Mixed,Parallel,FPTP,0.153,0.415,165,6.8,,-69.8371,9.08165,Upper middle income,IBRD,,5.625957,,25.30375,,0.6782306,54.28876,50.40357,1.307679,12.19196,1.449532,3.04785,3.7249,3.04785,,5.02,0.6741638
469,VEN,2013,18,0,Venezuela,0.67805,0.00000,,,,,,,2.168,5.546,0,21429,-0.09,40.64,7.54,,Mixed,Parallel,FPTP,0.112,0.335,165,6.8,,-69.8371,9.08165,Upper middle income,IBRD,,1.343094,,29.89615,,1.240952,54.04502,54.27776,0.5781587,12.38882,4.282863,3.704753,4.700224,3.704753,,19.57,0.1968622
470,VEN,2014,18,0,Venezuela,0.67342,0.00000,,,,,,,2.388,5.546,0,20317,-4.731,62.17,,,Mixed,Parallel,FPTP,0.102,0.316,165,6.8,,-69.8371,9.08165,Upper middle income,IBRD,,-3.894387,,,,1.019779,53.72506,48.09081,0.2353018,14.60335,5.237481,4.129872,5.702544,4.129872,,21.53,2.214533
471,VEN,2015,18,0,Venezuela,0.66879,0.00000,,,,,,,2.299,6.374,1,18802,,121.74,,,Mixed,Parallel,FPTP,0.114,0.308,167,6.8,,-69.8371,9.08165,Upper middle income,IBRD,,,,,,,53.24563,,,,,4.801888,5.285401,4.801888,,59.57,
472,VEN,2016,18,1,Venezuela,0.66415,0.00000,3.572,2.496,4.2,3.511,1.798,1.374,2.299,6.208,0,15219,,254.95,5.32,,Mixed,Parallel,FPTP,0.127,0.294,167,,,-69.8371,9.08165,Upper middle income,IBRD,,,,,,,53.51737,,,,,5.541068,5.285401,5.541068,,133.21,
473,VEN,2017,18,0,Venezuela,0.65952,0.00000,3.572,2.496,4.2,3.511,1.798,1.374,2.671,6.474,0,12879.1,,,5.05,,Mixed,Parallel,FPTP,0.1,0.245,167,,,-69.8371,9.08165,Upper middle income,IBRD,,,,,,,53.64359,,,,,,7.134241,,,,
474,VEN,2018,18,0,Venezuela,0.65489,0.00000,3.572,2.496,4.2,3.511,1.798,1.374,2.671,5.38,0,10710,,,,,Mixed,Parallel,FPTP,0.079,0.215,167,,,-69.8371,9.08165,Upper middle income,IBRD,,,,,,,53.68924,,,,,,7.134241,,,,
475,VEN,2019,18,0,Venezuela,0.65026,0.00000,3.572,2.496,4.2,3.511,1.798,1.374,2.221,5.38,0,,,,,,Mixed,Parallel,FPTP,0.073,0.209,167,,,-69.8371,9.08165,Upper middle income,IBRD,,,,,,,53.88218,,,,,,4.932841,,,,
